"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26"
"1" "a" "a" "a" "a" "a" "a" "a" "a" "a" "a" "a" "a" "a" "b" "b" "b" "b" "b" "b" "b" "b" "b" "b" "b" "b" "b"
"2" "a" "b" "b" "b" "b" "b" "b" "a" "a" "a" "b" "b" "b" "b" "a" "a" "a" "a" "a" "a" "b" "b" "b" "a" "a" "a"
"3" "a" "a" "b" "a" "a" "a" "a" "a" "a" "b" "a" "a" "a" "b" "b" "a" "b" "b" "b" "b" "b" "b" "a" "b" "b" "b"
"4" "a" "b" "a" "b" "b" "b" "b" "a" "b" "a" "b" "a" "b" "b" "a" "b" "a" "a" "a" "a" "b" "a" "b" "a" "b" "a"
"5" "a" "b" "a" "b" "b" "b" "a" "a" "a" "a" "a" "b" "a" "b" "a" "b" "a" "a" "a" "b" "b" "b" "b" "b" "a" "b"
"6" "a" "a" "b" "b" "b" "a" "b" "a" "a" "a" "a" "b" "a" "b" "b" "a" "a" "a" "b" "a" "b" "b" "b" "b" "a" "b"
"7" "a" "a" "a" "a" "a" "a" "a" "a" "a" "b" "a" "b" "b" "b" "b" "b" "b" "b" "b" "b" "b" "b" "a" "b" "a" "a"
"8" "a" "a" "a" "a" "a" "a" "b" "b" "a" "b" "a" "a" "a" "b" "b" "b" "b" "b" "b" "a" "a" "b" "a" "b" "b" "b"
"9" "a" "b" "a" "a" "a" "a" "a" "b" "b" "a" "a" "b" "a" "b" "a" "b" "b" "b" "b" "b" "a" "a" "b" "b" "a" "b"
"10" "b" "a" "a" "a" "a" "b" "a" "a" "a" "a" "a" "a" "b" "a" "b" "b" "b" "b" "a" "b" "b" "b" "b" "b" "b" "a"
"11" "a" "b" "b" "a" "a" "a" "a" "b" "a" "b" "b" "a" "b" "b" "a" "a" "b" "b" "b" "b" "a" "b" "a" "a" "b" "a"
"12" "a" "a" "b" "a" "a" "a" "b" "a" "a" "a" "a" "b" "b" "b" "b" "a" "b" "b" "b" "a" "b" "b" "b" "b" "a" "a"
"13" "a" "a" "a" "a" "a" "a" "a" "a" "a" "b" "a" "a" "b" "b" "b" "b" "b" "b" "b" "b" "b" "b" "a" "b" "b" "a"
"14" "b" "b" "b" "b" "b" "a" "a" "a" "a" "a" "b" "a" "b" "a" "a" "a" "a" "a" "b" "b" "b" "b" "b" "a" "b" "a"
"15" "b" "b" "b" "b" "a" "b" "b" "a" "a" "a" "b" "a" "b" "a" "a" "a" "a" "b" "a" "a" "b" "b" "b" "a" "b" "a"
"16" "a" "a" "b" "b" "b" "a" "a" "b" "b" "a" "a" "a" "b" "b" "b" "a" "a" "a" "b" "b" "a" "a" "b" "b" "b" "a"
"17" "a" "a" "b" "a" "a" "b" "a" "b" "b" "b" "a" "b" "a" "b" "b" "a" "b" "b" "a" "b" "a" "a" "a" "b" "a" "b"
"18" "b" "a" "a" "a" "a" "b" "b" "b" "a" "a" "b" "b" "b" "a" "b" "b" "b" "b" "a" "a" "a" "b" "b" "a" "a" "a"
"19" "a" "b" "a" "a" "a" "a" "a" "a" "a" "a" "a" "a" "a" "b" "a" "b" "b" "b" "b" "b" "b" "b" "b" "b" "b" "b"
"20" "b" "b" "b" "b" "a" "a" "b" "b" "a" "a" "b" "a" "b" "a" "a" "a" "a" "b" "b" "a" "a" "b" "b" "a" "b" "a"
"21" "b" "a" "a" "a" "a" "b" "a" "a" "a" "b" "b" "b" "a" "a" "b" "b" "b" "b" "a" "b" "b" "b" "a" "a" "a" "b"
"22" "a" "a" "a" "a" "a" "b" "a" "a" "a" "b" "a" "a" "a" "b" "b" "b" "b" "b" "a" "b" "b" "b" "a" "b" "b" "b"
"23" "b" "b" "b" "a" "a" "b" "b" "a" "b" "b" "b" "b" "a" "a" "a" "a" "b" "b" "a" "a" "b" "a" "a" "a" "a" "b"
"24" "a" "b" "b" "a" "a" "b" "a" "b" "b" "a" "a" "a" "b" "b" "a" "a" "b" "b" "a" "b" "a" "a" "b" "b" "b" "a"
"25" "a" "b" "a" "a" "a" "b" "a" "a" "a" "b" "a" "a" "a" "b" "a" "b" "b" "b" "a" "b" "b" "b" "a" "b" "b" "b"
"26" "b" "b" "b" "b" "a" "a" "b" "b" "b" "a" "b" "b" "b" "a" "a" "a" "a" "b" "b" "a" "a" "a" "b" "a" "a" "a"
"27" "a" "a" "a" "a" "a" "a" "a" "a" "a" "b" "a" "a" "a" "b" "b" "b" "b" "b" "b" "b" "b" "b" "a" "b" "b" "b"
"28" "a" "a" "a" "a" "a" "b" "a" "a" "a" "a" "a" "a" "a" "b" "b" "b" "b" "b" "a" "b" "b" "b" "b" "b" "b" "b"
"29" "a" "a" "a" "a" "b" "a" "a" "a" "a" "a" "a" "a" "b" "b" "b" "b" "b" "a" "b" "b" "b" "b" "b" "b" "b" "a"
"30" "a" "a" "a" "b" "a" "b" "b" "a" "b" "b" "b" "b" "b" "b" "b" "b" "a" "b" "a" "a" "b" "a" "a" "a" "a" "a"
"31" "a" "a" "a" "a" "a" "a" "a" "b" "a" "a" "a" "a" "a" "b" "b" "b" "b" "b" "b" "b" "a" "b" "b" "b" "b" "b"
"32" "a" "b" "a" "b" "a" "b" "b" "b" "b" "b" "b" "a" "a" "b" "a" "b" "a" "b" "a" "a" "a" "a" "a" "a" "b" "b"
"33" "a" "b" "b" "b" "a" "b" "b" "a" "b" "a" "a" "a" "b" "b" "a" "a" "a" "b" "a" "a" "b" "a" "b" "b" "b" "a"
"34" "a" "a" "a" "a" "b" "b" "b" "a" "b" "a" "a" "a" "a" "b" "b" "b" "b" "a" "a" "a" "b" "a" "b" "b" "b" "b"
"35" "a" "a" "a" "a" "b" "b" "a" "b" "a" "a" "a" "a" "a" "b" "b" "b" "b" "a" "a" "b" "a" "b" "b" "b" "b" "b"
"36" "a" "b" "b" "a" "b" "b" "a" "b" "a" "a" "b" "b" "a" "b" "a" "a" "b" "a" "a" "b" "a" "b" "b" "a" "a" "b"
"37" "a" "a" "b" "a" "a" "a" "a" "b" "b" "b" "b" "b" "b" "b" "b" "a" "b" "b" "b" "b" "a" "a" "a" "a" "a" "a"
"38" "a" "b" "b" "b" "b" "a" "a" "a" "b" "b" "a" "a" "b" "b" "a" "a" "a" "a" "b" "b" "b" "a" "a" "b" "b" "a"
"39" "a" "a" "a" "a" "b" "a" "a" "a" "a" "a" "b" "a" "b" "b" "b" "b" "b" "a" "b" "b" "b" "b" "b" "a" "b" "a"
"40" "b" "a" "a" "a" "b" "a" "a" "b" "a" "b" "a" "a" "a" "a" "b" "b" "b" "a" "b" "b" "a" "b" "a" "b" "b" "b"
"41" "a" "a" "a" "b" "b" "a" "a" "a" "a" "a" "a" "a" "a" "b" "b" "b" "a" "a" "b" "b" "b" "b" "b" "b" "b" "b"
"42" "b" "b" "a" "b" "b" "b" "b" "b" "a" "b" "a" "a" "b" "a" "a" "b" "a" "a" "a" "a" "a" "b" "a" "b" "b" "a"
"43" "b" "b" "b" "b" "a" "a" "b" "a" "b" "a" "a" "a" "a" "a" "a" "a" "a" "b" "b" "a" "b" "a" "b" "b" "b" "b"
"44" "a" "a" "a" "a" "a" "a" "b" "a" "b" "a" "b" "a" "b" "b" "b" "b" "b" "b" "b" "a" "b" "a" "b" "a" "b" "a"
"45" "b" "b" "b" "b" "a" "a" "b" "a" "b" "b" "a" "a" "a" "a" "a" "a" "a" "b" "b" "a" "b" "a" "a" "b" "b" "b"
"46" "b" "a" "a" "b" "b" "a" "a" "b" "a" "a" "b" "b" "b" "a" "b" "b" "a" "a" "b" "b" "a" "b" "b" "a" "a" "a"
"47" "a" "b" "b" "b" "a" "a" "b" "b" "b" "a" "b" "a" "a" "b" "a" "a" "a" "b" "b" "a" "a" "a" "b" "a" "b" "b"
"48" "b" "b" "a" "a" "a" "a" "a" "a" "a" "a" "a" "a" "b" "a" "a" "b" "b" "b" "b" "b" "b" "b" "b" "b" "b" "a"
"49" "a" "a" "a" "a" "a" "a" "b" "a" "a" "a" "a" "b" "b" "b" "b" "b" "b" "b" "b" "a" "b" "b" "b" "b" "a" "a"
"50" "b" "a" "b" "a" "a" "a" "b" "a" "b" "b" "a" "a" "b" "a" "b" "a" "b" "b" "b" "a" "b" "a" "a" "b" "b" "a"
"51" "a" "a" "b" "b" "a" "a" "a" "a" "a" "a" "a" "a" "a" "b" "b" "a" "a" "b" "b" "b" "b" "b" "b" "b" "b" "b"
"52" "a" "a" "a" "b" "a" "a" "b" "a" "a" "b" "a" "a" "a" "b" "b" "b" "a" "b" "b" "a" "b" "b" "a" "b" "b" "b"
"53" "b" "a" "b" "b" "b" "b" "a" "a" "a" "b" "b" "a" "a" "a" "b" "a" "a" "a" "a" "b" "b" "b" "a" "a" "b" "b"
"54" "a" "a" "a" "a" "b" "a" "a" "a" "a" "a" "a" "a" "a" "b" "b" "b" "b" "a" "b" "b" "b" "b" "b" "b" "b" "b"
"55" "b" "b" "b" "a" "a" "a" "b" "a" "a" "a" "b" "a" "b" "a" "a" "a" "b" "b" "b" "a" "b" "b" "b" "a" "b" "a"
"56" "a" "a" "a" "b" "a" "a" "a" "b" "a" "a" "a" "a" "a" "b" "b" "b" "a" "b" "b" "b" "a" "b" "b" "b" "b" "b"
"57" "a" "a" "a" "a" "a" "b" "a" "b" "b" "b" "b" "a" "b" "b" "b" "b" "b" "b" "a" "b" "a" "a" "a" "a" "b" "a"
"58" "a" "a" "b" "a" "a" "b" "a" "b" "a" "b" "b" "a" "a" "b" "b" "a" "b" "b" "a" "b" "a" "b" "a" "a" "b" "b"
"59" "a" "b" "b" "b" "b" "a" "b" "b" "a" "a" "b" "b" "a" "b" "a" "a" "a" "a" "b" "a" "a" "b" "b" "a" "a" "b"
"60" "a" "b" "b" "b" "b" "a" "b" "b" "b" "b" "a" "a" "b" "b" "a" "a" "a" "a" "b" "a" "a" "a" "a" "b" "b" "a"
"61" "b" "b" "b" "a" "b" "a" "a" "a" "b" "a" "a" "b" "a" "a" "a" "a" "b" "a" "b" "b" "b" "a" "b" "b" "a" "b"
"62" "a" "a" "b" "a" "a" "a" "a" "b" "a" "a" "a" "a" "b" "b" "b" "a" "b" "b" "b" "b" "a" "b" "b" "b" "b" "a"
